"Electoral.District.Number.Numéro.de.circonscription","Electoral.District.Name.Nom.de.circonscription","Conservative Party of Canada","New Democratic Party","Liberal Party of Canada","People's Party of Canada","Green Party of Canada","Bloc Québécois","Rejected.Ballots.Bulletins.rejetés","Total.Votes.Total.des.votes","Electors.Électeurs"
10001,"Avalon/Avalon",12738,5151,18608,647,NA,NA,273,37417,70903
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity",12278,2484,13972,1257,NA,NA,482,30473,59605
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame",14927,2261,14646,NA,NA,NA,695,32529,63631
10004,"Labrador/Labrador",2930,2297,4119,307,NA,NA,94,9747,20239
10005,"Long Range Mountains/Long Range Mountains",14344,4347,16178,1578,NA,NA,461,36908,70208
10006,"St. John's East/St. John's-Est",7119,13090,17239,723,NA,NA,296,38467,66963
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl",6447,8113,19478,638,NA,NA,414,35090,66677
11001,"Cardigan/Cardigan",6817,2168,11175,725,1064,NA,199,22293,30843
11002,"Charlottetown/Charlottetown",5932,2048,8919,369,1832,NA,198,19298,27383
11003,"Egmont/Egmont",6088,1688,9040,974,1771,NA,244,19805,28729
11004,"Malpeque/Malpeque",7836,1898,9912,680,3381,NA,174,23881,32009
12001,"Cape Breton--Canso/Cape Breton--Canso",13805,5618,18288,1649,NA,NA,350,39710,60651
12002,"Central Nova/Nova-Centre",13060,6225,18682,1445,494,NA,236,40710,62193
12003,"Cumberland--Colchester/Cumberland--Colchester",18601,4984,13822,1687,1045,NA,279,40696,67768
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour",NA,15267,24209,4781,1371,NA,796,46424,75898
12005,"Halifax/Halifax",6601,NA,21905,1069,1128,NA,322,51570,78065
12006,"Halifax West/Halifax-Ouest",11243,12331,24744,1447,1181,NA,191,51222,79173
12007,"Kings--Hants/Kings--Hants",13234,8645,20192,1945,940,NA,251,45207,72312
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook",12047,12012,18838,1776,933,NA,252,45858,72440
12009,"South Shore--St. Margarets/South Shore--St. Margarets",20454,9541,18575,NA,1434,NA,400,50404,80138
12010,"Sydney--Victoria/Sydney--Victoria",13166,7217,14250,1176,376,NA,472,36784,59786
12011,"West Nova/Nova-Ouest",22104,5645,13732,2390,NA,NA,284,44155,70823
13001,"Acadie--Bathurst/Acadie--Bathurst",5916,4906,27817,2531,1203,NA,511,43433,67137
13002,"Beauséjour/Beauséjour",9526,5394,27313,3723,2798,NA,294,49439,73081
13003,"Fredericton/Fredericton",15814,5564,16316,NA,5666,NA,301,44363,66921
13004,"Fundy Royal/Fundy Royal",21460,6211,11075,3447,2189,NA,213,44595,67030
13005,"Madawaska--Restigouche/Madawaska--Restigouche",7892,1848,16854,1889,786,NA,400,30946,50308
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",14218,2291,12762,1839,1393,NA,306,32809,48932
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe",10692,7774,22460,2901,1935,NA,331,46093,74843
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",NA,4893,8750,3090,1587,NA,239,36868,55006
13009,"Saint John--Rothesay/Saint John--Rothesay",12315,4816,17375,1996,948,NA,214,37664,63664
13010,"Tobique--Mactaquac/Tobique--Mactaquac",17536,3656,8223,2930,1657,NA,291,34691,56052
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",4508,3323,7384,1072,442,10784,856,29292,65543
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue",NA,2794,11013,1538,748,23120,909,46594,82560
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville",4247,5844,26402,1313,1491,11112,1054,51463,80359
24004,"Alfred-Pellan/Alfred-Pellan",6988,3946,24516,NA,940,13399,1176,52432,78760
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation",6547,3390,19371,2777,NA,17842,933,51546,84531
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia",2912,1501,7095,965,NA,19776,680,33755,59750
24007,"Beauce/Beauce",27514,1654,7018,10362,486,8644,895,57875,86857
24008,"Beauport--Limoilou/Beauport--Limoilou",14164,5075,12378,NA,1025,15146,1134,49778,76771
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel",8404,2550,8451,1214,770,27403,1080,51087,80573
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis",32238,NA,10074,NA,918,14669,1138,64320,96457
24011,"Beloeil--Chambly/Beloeil--Chambly",5661,5524,15502,1316,1294,34678,1109,66433,96547
24012,"Berthier--Maskinongé/Berthier--Maskinongé",6007,18402,8403,1496,548,19339,998,55943,86347
24013,"Thérèse-De Blainville/Thérèse-De Blainville",5773,3827,18396,1386,1018,21526,915,53203,83453
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères",4870,4261,14282,1078,NA,29978,964,56210,81490
24015,"Bourassa/Bourassa",2587,2956,22303,1349,679,6907,1086,38018,67391
24016,"Brome--Missisquoi/Brome--Missisquoi",9961,3828,21488,1982,1466,21291,1115,62586,94728
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert",6276,5442,28326,1288,NA,10441,744,53100,83125
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques",5569,NA,10482,700,NA,20657,881,43019,70608
